ts,wait_event_type,wait_event,waiters,active_connections
2026-09-08T12:22:41Z,,,0,1
2026-09-08T12:22:43Z,,,0,1
2026-09-08T12:22:44Z,,,0,1
2026-09-08T12:22:45Z,,,0,2
2026-09-08T12:22:46Z,,,0,2
2026-09-08T12:22:47Z,,,0,5
2026-09-08T12:22:49Z,,,0,5
2026-09-08T12:22:50Z,,,0,5
2026-09-08T12:22:51Z,,,0,5
2026-09-08T12:22:52Z,,,0,5
2026-09-08T12:22:54Z,,,0,5
2026-09-08T12:22:55Z,,,0,5
2026-09-08T12:22:56Z,,,0,5
2026-09-08T12:22:57Z,,,0,5
2026-09-08T12:22:58Z,,,0,5
2026-09-08T12:23:00Z,,,0,7
2026-09-08T12:23:01Z,,,0,7
2026-09-08T12:23:02Z,,,0,8
2026-09-08T12:23:03Z,,,0,9
2026-09-08T12:23:05Z,,,0,9
2026-09-08T12:23:06Z,,,0,9
2026-09-08T12:23:07Z,,,0,10
2026-09-08T12:23:08Z,,,0,11
2026-09-08T12:23:09Z,,,0,11
2026-09-08T12:23:11Z,,,0,18
2026-09-08T12:23:12Z,,,0,19
2026-09-08T12:23:13Z,,,0,25
2026-09-08T12:23:14Z,,,0,32
2026-09-08T12:23:16Z,,,0,32
2026-09-08T12:23:17Z,,,0,32
2026-09-08T12:23:18Z,,,0,32
2026-09-08T12:23:19Z,,,0,32
2026-09-08T12:23:20Z,,,0,32
2026-09-08T12:23:22Z,,,0,33
2026-09-08T12:23:23Z,,,0,33
2026-09-08T12:23:24Z,,,0,33
2026-09-08T12:23:25Z,,,0,33
2026-09-08T12:23:26Z,,,0,33
2026-09-08T12:23:28Z,,,0,33
2026-09-08T12:23:29Z,,,0,33
2026-09-08T12:23:30Z,,,0,33
2026-09-08T12:23:31Z,,,0,30
2026-09-08T12:23:33Z,,,0,30
2026-09-08T12:23:34Z,,,0,30
2026-09-08T12:23:35Z,,,0,41
2026-09-08T12:23:36Z,,,0,41
2026-09-08T12:23:37Z,,,0,41
2026-09-08T12:23:39Z,,,0,42
2026-09-08T12:23:40Z,,,0,42
