ts,wait_event_type,wait_event,waiters,active_connections
2026-09-08T12:31:51Z,,,0,1
2026-09-08T12:31:52Z,,,0,9
2026-09-08T12:31:53Z,,,0,9
2026-09-08T12:31:54Z,,,0,9
2026-09-08T12:31:56Z,,,0,9
2026-09-08T12:31:57Z,,,0,9
2026-09-08T12:31:58Z,,,0,9
2026-09-08T12:31:59Z,,,0,9
2026-09-08T12:32:01Z,,,0,9
2026-09-08T12:32:02Z,,,0,9
2026-09-08T12:32:03Z,,,0,9
2026-09-08T12:32:04Z,,,0,9
2026-09-08T12:32:05Z,,,0,9
2026-09-08T12:32:07Z,,,0,9
2026-09-08T12:32:08Z,,,0,9
2026-09-08T12:32:09Z,,,0,9
2026-09-08T12:32:10Z,,,0,9
