ts,arm,bulk_running,claim_loop_tick_proxy
2026-09-09T07:54:59Z,control,0,
2026-09-09T07:55:01Z,control,1,
2026-09-09T07:55:02Z,control,1,
2026-09-09T07:55:03Z,control,2,
2026-09-09T07:55:04Z,control,2,
2026-09-09T07:55:05Z,control,2,
2026-09-09T07:55:06Z,control,3,
2026-09-09T07:55:07Z,control,3,
2026-09-09T07:55:08Z,control,3,
2026-09-09T07:55:10Z,control,4,
2026-09-09T07:55:11Z,control,4,
2026-09-09T07:55:12Z,control,5,
2026-09-09T07:55:13Z,control,5,
2026-09-09T07:55:14Z,control,5,
2026-09-09T07:55:15Z,control,5,
2026-09-09T07:55:16Z,control,4,
2026-09-09T07:55:17Z,control,4,
2026-09-09T07:55:18Z,control,4,
2026-09-09T07:55:20Z,control,3,
2026-09-09T07:55:21Z,control,2,
2026-09-09T07:55:22Z,control,3,
2026-09-09T07:55:23Z,control,2,
2026-09-09T07:55:24Z,control,3,
2026-09-09T07:55:25Z,control,2,
2026-09-09T07:55:26Z,control,2,
2026-09-09T07:55:27Z,control,3,
2026-09-09T07:55:28Z,control,3,
2026-09-09T07:55:30Z,control,2,
2026-09-09T07:55:31Z,control,3,
2026-09-09T07:55:32Z,control,2,
2026-09-09T07:55:33Z,control,2,
2026-09-09T07:55:34Z,control,2,
2026-09-09T07:55:35Z,control,2,
2026-09-09T07:55:36Z,control,3,
2026-09-09T07:55:37Z,control,3,
2026-09-09T07:55:39Z,control,2,
2026-09-09T07:55:40Z,control,3,
2026-09-09T07:55:41Z,control,2,
2026-09-09T07:55:42Z,control,2,
2026-09-09T07:55:43Z,control,3,
2026-09-09T07:55:44Z,control,2,
2026-09-09T07:55:45Z,control,2,
2026-09-09T07:55:46Z,control,4,
2026-09-09T07:55:47Z,control,4,
2026-09-09T07:55:49Z,control,6,
2026-09-09T07:55:50Z,control,7,
2026-09-09T07:55:51Z,control,7,
2026-09-09T07:55:52Z,control,8,
2026-09-09T07:55:53Z,control,8,
2026-09-09T07:55:54Z,control,7,
2026-09-09T07:55:55Z,control,7,
2026-09-09T07:55:56Z,control,6,
2026-09-09T07:55:57Z,control,5,
2026-09-09T07:55:59Z,control,5,
2026-09-09T07:56:00Z,control,5,
2026-09-09T07:56:01Z,control,6,
2026-09-09T07:56:02Z,control,6,
2026-09-09T07:56:03Z,control,5,
2026-09-09T07:56:04Z,control,5,
2026-09-09T07:56:05Z,control,5,
2026-09-09T07:56:06Z,control,4,
