ts,arm,queued_due,running,lock_waits,pg_backends
2026-09-09T08:30:30Z,r1,591,7,0,3
2026-09-09T08:30:32Z,r1,588,7,0,5
2026-09-09T08:30:34Z,r1,585,8,0,5
2026-09-09T08:30:35Z,r1,584,8,0,5
2026-09-09T08:30:37Z,r1,584,8,0,5
2026-09-09T08:30:38Z,r1,584,7,0,5
2026-09-09T08:30:40Z,r1,581,8,0,5
2026-09-09T08:30:41Z,r1,578,7,0,5
2026-09-09T08:30:43Z,r1,576,8,0,5
2026-09-09T08:30:44Z,r1,576,8,0,5
2026-09-09T08:30:46Z,r1,575,8,0,5
2026-09-09T08:30:47Z,r1,575,7,0,5
2026-09-09T08:30:49Z,r1,572,8,0,5
2026-09-09T08:30:51Z,r1,569,7,0,5
2026-09-09T08:30:52Z,r1,568,8,0,5
2026-09-09T08:30:54Z,r1,568,8,0,5
2026-09-09T08:30:55Z,r1,567,8,0,5
2026-09-09T08:30:57Z,r1,566,7,0,5
2026-09-09T08:30:58Z,r1,563,6,0,5
2026-09-09T08:31:00Z,r1,561,8,0,5
2026-09-09T08:31:01Z,r1,564,8,0,5
2026-09-09T08:31:03Z,r1,567,8,0,5
2026-09-09T08:31:04Z,r1,568,7,0,5
2026-09-09T08:31:06Z,r1,565,6,0,5
2026-09-09T08:31:08Z,r1,562,6,0,5
2026-09-09T08:31:09Z,r1,562,8,0,5
2026-09-09T08:31:11Z,r1,566,8,0,5
2026-09-09T08:31:12Z,r1,568,8,0,5
2026-09-09T08:31:14Z,r1,567,7,0,5
2026-09-09T08:31:15Z,r1,564,8,0,6
2026-09-09T08:31:17Z,r1,563,6,0,6
2026-09-09T08:31:18Z,r1,563,8,0,6
2026-09-09T08:31:20Z,r1,567,8,0,6
2026-09-09T08:31:22Z,r1,567,8,0,6
2026-09-09T08:31:23Z,r1,564,8,0,6
2026-09-09T08:31:25Z,r1,562,8,0,5
2026-09-09T08:31:26Z,r1,562,8,0,5
2026-09-09T08:31:28Z,r1,564,8,0,5
2026-09-09T08:31:29Z,r1,567,8,0,5
2026-09-09T08:31:31Z,r1,564,8,0,5
