product,cycle,t0_ms,t1_ms,outbox_created_local,drain_http_status,drain_before_ms,drain_after_ms,outbox_delivered_utc,webhook_delivery_status,webhook_delivery_created_utc,inv_job_created_utc,inv_job_status,inv_job_outcome,inventory_items_updated_count,inventory_items_max_updated_utc,propagate_job_created_utc,propagate_job_status,propagate_job_outcome,offer_children_count,offer_child_created_utc,offer_child_status,offer_child_last_error,offer_child_completed_utc
20,0,1788936016364,1788936016439,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
21,0,1788936038091,1788936038186,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
22,0,1788936059942,1788936060067,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
23,0,1788936081757,1788936081873,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
24,0,1788936103654,1788936103774,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
25,0,1788936125497,1788936125577,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
20,1,1788936147324,1788936147405,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
21,1,1788936169134,1788936169207,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
22,1,1788936191020,1788936191156,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
23,1,1788936212860,1788936212983,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
24,1,1788936234687,1788936234809,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
25,1,1788936256499,1788936256578,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
20,2,1788936278243,1788936278319,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
21,2,1788936299967,1788936300043,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
22,2,1788936321681,1788936321812,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
23,2,1788936343462,1788936343578,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
24,2,1788936365333,1788936365582,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
25,2,1788936387288,1788936387370,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
20,3,1788936409180,1788936409258,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
21,3,1788936430925,1788936431012,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
22,3,1788936452733,1788936452862,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
23,3,1788936474493,1788936474600,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
24,3,1788936496313,1788936496424,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
25,3,1788936518119,1788936518211,NO_OUTBOX_ROW,,,,,,,,,,,,,,,,
