ts,wait_event_type,wait_event,waiters,active_connections
2026-09-09T05:42:00Z,,,0,1
2026-09-09T05:42:01Z,,,0,41
2026-09-09T05:42:02Z,,,0,41
2026-09-09T05:42:03Z,,,0,41
2026-09-09T05:42:05Z,,,0,41
2026-09-09T05:42:06Z,,,0,41
2026-09-09T05:42:07Z,,,0,41
2026-09-09T05:42:08Z,,,0,41
2026-09-09T05:42:09Z,,,0,41
2026-09-09T05:42:11Z,,,0,41
2026-09-09T05:42:12Z,,,0,41
2026-09-09T05:42:13Z,,,0,41
2026-09-09T05:42:14Z,,,0,41
2026-09-09T05:42:16Z,,,0,41
2026-09-09T05:42:17Z,,,0,41
2026-09-09T05:42:18Z,,,0,41
2026-09-09T05:42:19Z,,,0,41
