arm,seq,enqueued_at,idempotency_key
control,0,2026-09-09T09:35:53Z,f7:probe:fiscal:control:0:1788946553571035439
control,1,2026-09-09T09:36:08Z,f7:probe:fiscal:control:1:1788946568628942560
control,2,2026-09-09T09:36:23Z,f7:probe:fiscal:control:2:1788946583690646247
control,3,2026-09-09T09:36:38Z,f7:probe:fiscal:control:3:1788946598757457417
control,4,2026-09-09T09:36:53Z,f7:probe:fiscal:control:4:1788946613815807458
control,5,2026-09-09T09:37:08Z,f7:probe:fiscal:control:5:1788946628878396358
control,6,2026-09-09T09:37:23Z,f7:probe:fiscal:control:6:1788946643938191640
control,7,2026-09-09T09:37:39Z,f7:probe:fiscal:control:7:1788946658996412425
control,8,2026-09-09T09:37:54Z,f7:probe:fiscal:control:8:1788946674053662854
control,9,2026-09-09T09:38:09Z,f7:probe:fiscal:control:9:1788946689115844429
control,10,2026-09-09T09:38:24Z,f7:probe:fiscal:control:10:1788946704174894692
control,11,2026-09-09T09:38:39Z,f7:probe:fiscal:control:11:1788946719229719487
loaded,0,2026-09-09T09:39:41Z,f7:probe:fiscal:loaded:0:1788946781414285860
loaded,1,2026-09-09T09:39:56Z,f7:probe:fiscal:loaded:1:1788946796476083466
loaded,2,2026-09-09T09:40:11Z,f7:probe:fiscal:loaded:2:1788946811533481303
loaded,3,2026-09-09T09:40:26Z,f7:probe:fiscal:loaded:3:1788946826585622934
loaded,4,2026-09-09T09:40:41Z,f7:probe:fiscal:loaded:4:1788946841645463992
loaded,5,2026-09-09T09:40:56Z,f7:probe:fiscal:loaded:5:1788946856710337357
loaded,6,2026-09-09T09:41:11Z,f7:probe:fiscal:loaded:6:1788946871771316008
loaded,7,2026-09-09T09:41:26Z,f7:probe:fiscal:loaded:7:1788946886829576087
loaded,8,2026-09-09T09:41:41Z,f7:probe:fiscal:loaded:8:1788946901890622775
loaded,9,2026-09-09T09:41:56Z,f7:probe:fiscal:loaded:9:1788946916957564510
loaded,10,2026-09-09T09:42:12Z,f7:probe:fiscal:loaded:10:1788946932018734953
loaded,11,2026-09-09T09:42:27Z,f7:probe:fiscal:loaded:11:1788946947071548012
