ts,wait_event_type,wait_event,waiters,active_connections
2026-09-08T12:33:15Z,,,0,1
2026-09-08T12:33:17Z,,,0,33
2026-09-08T12:33:18Z,,,0,33
2026-09-08T12:33:19Z,,,0,33
2026-09-08T12:33:20Z,,,0,33
2026-09-08T12:33:22Z,,,0,33
2026-09-08T12:33:23Z,,,0,33
2026-09-08T12:33:24Z,,,0,33
2026-09-08T12:33:25Z,,,0,33
2026-09-08T12:33:26Z,,,0,32
2026-09-08T12:33:28Z,,,0,32
2026-09-08T12:33:29Z,,,0,32
2026-09-08T12:33:30Z,,,0,32
2026-09-08T12:33:31Z,,,0,32
2026-09-08T12:33:33Z,,,0,31
2026-09-08T12:33:34Z,,,0,31
2026-09-08T12:33:35Z,,,0,31
