ts,wait_event_type,wait_event,waiters,active_connections
2026-09-08T12:30:26Z,,,0,1
2026-09-08T12:30:27Z,,,0,3
2026-09-08T12:30:28Z,,,0,3
2026-09-08T12:30:30Z,,,0,3
2026-09-08T12:30:31Z,,,0,3
2026-09-08T12:30:32Z,,,0,3
2026-09-08T12:30:33Z,,,0,3
2026-09-08T12:30:35Z,,,0,3
2026-09-08T12:30:36Z,,,0,3
2026-09-08T12:30:37Z,,,0,3
2026-09-08T12:30:38Z,,,0,3
2026-09-08T12:30:39Z,,,0,3
2026-09-08T12:30:41Z,,,0,3
2026-09-08T12:30:42Z,,,0,3
2026-09-08T12:30:43Z,,,0,3
2026-09-08T12:30:44Z,,,0,4
2026-09-08T12:30:46Z,,,0,3
