replicas,jobs,elapsed_secs,jobs_per_sec,peak_queued_due,peak_running,max_lock_waits,peak_pg_backends,distinct_lockedby,ps_requests,ps_requests_per_min,pool_timeouts,limiter_degraded,rate_limit_timeouts,max_deferred,claim_calls,claim_total_ms,claim_mean_ms,drain_result,verdict
1,600,204,2.941,572,8,0,8,1,869,255.6,0,0,0,0,1657,455.3,0.275,drained,VALID
3,600,219,2.740,545,27,0,14,3,950,260.3,0,0,0,0,4412,872.8,0.198,drained,VALID
