ts,arm,queued_due,running,lock_waits,pg_backends
2026-09-09T09:15:14Z,r1,0,0,0,2
2026-09-09T09:15:15Z,r1,0,0,0,2
2026-09-09T09:15:17Z,r1,0,0,0,2
2026-09-09T09:15:19Z,r1,0,0,0,2
2026-09-09T09:15:20Z,r1,0,0,0,2
2026-09-09T09:15:22Z,r1,0,0,0,2
2026-09-09T09:15:23Z,r1,0,0,0,2
2026-09-09T09:15:25Z,r1,0,0,0,2
2026-09-09T09:15:26Z,r1,0,0,0,2
2026-09-09T09:16:57Z,r3,545,24,0,12
2026-09-09T09:16:58Z,r3,544,22,0,11
2026-09-09T09:17:00Z,r3,541,23,0,10
2026-09-09T09:17:01Z,r3,538,23,0,13
2026-09-09T09:17:03Z,r3,536,24,0,11
2026-09-09T09:17:04Z,r3,535,22,0,10
2026-09-09T09:17:06Z,r3,531,24,0,12
2026-09-09T09:17:08Z,r3,530,24,0,12
2026-09-09T09:17:09Z,r3,529,23,0,12
2026-09-09T09:17:11Z,r3,528,24,0,10
2026-09-09T09:17:12Z,r3,528,24,0,10
2026-09-09T09:17:14Z,r3,527,23,0,10
2026-09-09T09:17:15Z,r3,525,24,0,10
2026-09-09T09:17:17Z,r3,522,23,0,11
2026-09-09T09:17:18Z,r3,519,24,0,11
2026-09-09T09:17:20Z,r3,516,24,0,10
2026-09-09T09:17:22Z,r3,513,23,0,10
2026-09-09T09:17:23Z,r3,510,24,0,9
2026-09-09T09:17:25Z,r3,508,24,0,10
2026-09-09T09:17:26Z,r3,506,23,0,11
2026-09-09T09:17:28Z,r3,504,23,0,10
2026-09-09T09:17:29Z,r3,497,24,0,10
2026-09-09T09:17:31Z,r3,494,21,0,10
2026-09-09T09:17:32Z,r3,489,23,0,10
2026-09-09T09:17:34Z,r3,487,23,0,10
2026-09-09T09:17:36Z,r3,483,22,0,10
2026-09-09T09:17:37Z,r3,478,21,0,11
2026-09-09T09:17:39Z,r3,472,23,0,11
2026-09-09T09:17:40Z,r3,469,22,0,11
2026-09-09T09:17:42Z,r3,464,22,0,11
2026-09-09T09:17:43Z,r3,460,21,0,11
2026-09-09T09:17:45Z,r3,455,21,0,12
2026-09-09T09:17:46Z,r3,449,24,0,12
2026-09-09T09:17:48Z,r3,444,24,0,11
2026-09-09T09:17:50Z,r3,439,24,0,11
2026-09-09T09:17:51Z,r3,433,22,0,11
2026-09-09T09:17:53Z,r3,430,24,0,11
2026-09-09T09:17:54Z,r3,424,22,0,10
2026-09-09T09:17:56Z,r3,419,24,0,11
2026-09-09T09:17:57Z,r3,414,21,0,12
2026-09-09T09:17:59Z,r3,409,24,0,11
2026-09-09T09:18:00Z,r3,403,23,0,11
2026-09-09T09:18:02Z,r3,398,23,0,11
2026-09-09T09:18:03Z,r3,394,21,0,11
2026-09-09T09:18:05Z,r3,389,24,0,12
2026-09-09T09:18:07Z,r3,384,26,0,11
2026-09-09T09:18:08Z,r3,372,22,0,11
2026-09-09T09:18:10Z,r3,371,23,0,12
2026-09-09T09:18:11Z,r3,366,23,0,12
2026-09-09T09:18:13Z,r3,362,24,0,12
2026-09-09T09:18:14Z,r3,358,23,0,12
2026-09-09T09:18:16Z,r3,356,23,0,12
2026-09-09T09:18:17Z,r3,348,22,0,12
2026-09-09T09:18:19Z,r3,343,21,0,11
2026-09-09T09:18:21Z,r3,337,22,0,12
2026-09-09T09:18:22Z,r3,333,20,0,12
2026-09-09T09:18:24Z,r3,327,22,0,12
2026-09-09T09:18:25Z,r3,324,27,0,14
2026-09-09T09:18:27Z,r3,317,22,0,14
2026-09-09T09:18:28Z,r3,310,22,0,14
2026-09-09T09:18:30Z,r3,305,23,0,13
2026-09-09T09:18:31Z,r3,301,23,0,13
2026-09-09T09:18:33Z,r3,294,23,0,13
2026-09-09T09:18:35Z,r3,289,23,0,13
2026-09-09T09:18:36Z,r3,285,21,0,12
2026-09-09T09:18:38Z,r3,277,24,0,11
2026-09-09T09:18:39Z,r3,273,23,0,11
2026-09-09T09:18:41Z,r3,270,21,0,12
2026-09-09T09:18:42Z,r3,266,20,0,14
2026-09-09T09:18:44Z,r3,260,21,0,14
2026-09-09T09:18:45Z,r3,254,22,0,14
2026-09-09T09:18:47Z,r3,250,21,0,14
2026-09-09T09:18:49Z,r3,245,22,0,13
2026-09-09T09:18:50Z,r3,241,22,0,13
2026-09-09T09:18:52Z,r3,233,21,0,14
2026-09-09T09:18:53Z,r3,228,23,0,12
2026-09-09T09:18:55Z,r3,226,23,0,13
2026-09-09T09:18:56Z,r3,215,24,0,13
2026-09-09T09:18:58Z,r3,216,23,0,12
2026-09-09T09:18:59Z,r3,209,23,0,12
2026-09-09T09:19:01Z,r3,205,21,0,12
2026-09-09T09:19:03Z,r3,200,22,0,12
2026-09-09T09:19:04Z,r3,197,22,0,12
2026-09-09T09:19:06Z,r3,192,22,0,12
2026-09-09T09:19:07Z,r3,188,21,0,12
2026-09-09T09:19:09Z,r3,179,22,0,14
2026-09-09T09:19:10Z,r3,172,22,0,14
2026-09-09T09:19:12Z,r3,167,21,0,14
2026-09-09T09:19:13Z,r3,162,22,0,14
2026-09-09T09:19:15Z,r3,156,22,0,14
2026-09-09T09:19:16Z,r3,151,22,0,14
2026-09-09T09:19:18Z,r3,147,22,0,14
2026-09-09T09:19:20Z,r3,142,21,0,13
2026-09-09T09:19:21Z,r3,136,21,0,11
2026-09-09T09:19:23Z,r3,130,22,0,11
2026-09-09T09:19:24Z,r3,124,23,0,12
2026-09-09T09:19:26Z,r3,122,22,0,12
2026-09-09T09:19:27Z,r3,115,23,0,12
2026-09-09T09:19:29Z,r3,112,23,0,12
2026-09-09T09:19:30Z,r3,106,20,0,13
2026-09-09T09:19:32Z,r3,99,24,0,12
2026-09-09T09:19:34Z,r3,96,20,0,12
2026-09-09T09:19:35Z,r3,88,22,0,13
2026-09-09T09:19:37Z,r3,85,23,0,13
2026-09-09T09:19:38Z,r3,79,22,0,13
2026-09-09T09:19:40Z,r3,73,21,0,13
2026-09-09T09:19:41Z,r3,68,22,0,14
2026-09-09T09:19:43Z,r3,60,23,0,13
2026-09-09T09:19:45Z,r3,57,21,0,12
2026-09-09T09:19:46Z,r3,51,23,0,13
2026-09-09T09:19:48Z,r3,46,21,0,13
2026-09-09T09:19:49Z,r3,41,20,0,13
2026-09-09T09:19:51Z,r3,33,23,0,12
2026-09-09T09:19:52Z,r3,31,21,0,12
2026-09-09T09:19:54Z,r3,26,22,0,13
2026-09-09T09:19:55Z,r3,22,20,0,13
2026-09-09T09:19:57Z,r3,15,22,0,13
2026-09-09T09:19:59Z,r3,9,23,0,12
2026-09-09T09:20:00Z,r3,7,19,0,11
2026-09-09T09:20:02Z,r3,1,22,0,11
2026-09-09T09:20:03Z,r3,0,18,0,11
2026-09-09T09:20:05Z,r3,0,11,0,11
2026-09-09T09:20:06Z,r3,0,4,0,11
2026-09-09T09:20:08Z,r3,0,0,0,11
2026-09-09T09:20:09Z,r3,0,0,0,11
2026-09-09T09:20:11Z,r3,0,0,0,11
2026-09-09T09:20:13Z,r3,0,0,0,10
2026-09-09T09:20:14Z,r3,0,0,0,10
2026-09-09T09:20:16Z,r3,0,0,0,8
2026-09-09T09:20:17Z,r3,0,0,0,4
2026-09-09T09:20:19Z,r3,0,0,0,4
2026-09-09T09:20:20Z,r3,0,0,0,4
2026-09-09T09:20:22Z,r3,0,0,0,4
2026-09-09T09:20:23Z,r3,0,0,0,4
2026-09-09T09:20:25Z,r3,0,0,0,4
2026-09-09T09:20:27Z,r3,0,0,0,4
2026-09-09T09:20:28Z,r3,0,0,0,4
2026-09-09T09:20:30Z,r3,0,0,0,4
2026-09-09T09:20:31Z,r3,0,0,0,4
2026-09-09T09:20:33Z,r3,0,0,0,4
2026-09-09T09:20:34Z,r3,0,0,0,4
