ts,arm,locked_by,running_count
2026-09-09T09:13:51Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:13:53Z,r1,worker-4eaf28e97fd2-1788944974367,11
2026-09-09T09:13:54Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:13:56Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:13:58Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:13:59Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:14:01Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:14:02Z,r1,worker-4eaf28e97fd2-1788944974367,4
2026-09-09T09:14:04Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:14:05Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:14:07Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:14:08Z,r1,worker-4eaf28e97fd2-1788944974367,4
2026-09-09T09:14:10Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:14:12Z,r1,worker-4eaf28e97fd2-1788944974367,4
2026-09-09T09:14:13Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:14:15Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:14:16Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:14:18Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:14:19Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:14:21Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:14:22Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:14:24Z,r1,worker-4eaf28e97fd2-1788944974367,4
2026-09-09T09:14:25Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:14:27Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:14:29Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:14:30Z,r1,worker-4eaf28e97fd2-1788944974367,4
2026-09-09T09:14:32Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:14:33Z,r1,worker-4eaf28e97fd2-1788944974367,4
2026-09-09T09:14:35Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:14:36Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:14:38Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:14:39Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:14:41Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:14:43Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:14:44Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:14:46Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:14:47Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:14:49Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:14:50Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:14:52Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:14:53Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:14:55Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:14:56Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:14:58Z,r1,worker-4eaf28e97fd2-1788944974367,2
2026-09-09T09:16:56Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:16:56Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:16:56Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:16:58Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:16:58Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:16:58Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:16:59Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:16:59Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:16:59Z,r3,worker-b1d2e797e924-1788945333677,7
2026-09-09T09:17:01Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:01Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:17:01Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:02Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:02Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:17:02Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:04Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:04Z,r3,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:17:04Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:06Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:06Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:06Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:07Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:07Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:07Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:09Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:09Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:09Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:10Z,r3,worker-3eef91eb3ced-1788945333410,8
2026-09-09T09:17:10Z,r3,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:17:10Z,r3,worker-b1d2e797e924-1788945333677,8
2026-09-09T09:17:12Z,r3,worker-3eef91eb3ced-1788945333410,8
