sample,checkout_form_id,pushed_at_utc,poll_key,poll_created_utc,poll_locked_utc,poll_updated_utc,poll_status,poll_outcome,poll_attempts,poll_attempt_duration_ms,child_created_utc,child_locked_utc,child_updated_utc,child_status,child_outcome,child_attempts,child_attempt_duration_ms,internal_order_id,record_created_utc,record_status,synced_at_utc,dest_sync_status
1,mtso1byf9dcd94-perf-allegro-a-order-3,2026-09-08T12:50:37.327Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat1:1788871837334,2026-09-08 12:50:37.348075+00,,2026-09-08 12:50:38.444314+00,succeeded,ok,0,324,2026-09-08 12:50:38.440509+00,2026-09-08 12:50:39.132+00,2026-09-08 12:50:41.722465+00,succeeded,ok,0,2584,ol_order_618ada60c1674ec591b9b9c287725c1f,2026-09-08 12:50:40.278,ready,,failed
2,mtso1byf9dcd94-perf-allegro-a-order-4,2026-09-08T12:50:42.263Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat2:1788871842274,2026-09-08 12:50:42.297005+00,,2026-09-08 12:50:43.487555+00,succeeded,ok,0,295,2026-09-08 12:50:43.484135+00,2026-09-08 12:50:44.204+00,2026-09-08 12:50:46.757704+00,succeeded,ok,0,2549,ol_order_e090c5e396084fbba15abcc7f7b16be5,2026-09-08 12:50:45.341,ready,,failed
3,mtso1byf9dcd94-perf-allegro-a-order-5,2026-09-08T12:50:47.226Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat3:1788871847237,2026-09-08 12:50:47.261485+00,2026-09-08 12:50:48.247+00,2026-09-08 12:50:48.545538+00,succeeded,ok,0,292,2026-09-08 12:50:48.542659+00,2026-09-08 12:50:49.264+00,2026-09-08 12:50:51.818921+00,succeeded,ok,0,2549,ol_order_f6b12c2561c145fb830f8bb8b4646992,2026-09-08 12:50:50.406,ready,,failed
4,mtso1byf9dcd94-perf-allegro-a-order-6,2026-09-08T12:50:52.184Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat4:1788871852193,2026-09-08 12:50:52.217933+00,2026-09-08 12:50:52.306+00,2026-09-08 12:50:52.614465+00,succeeded,ok,0,302,2026-09-08 12:50:52.608435+00,2026-09-08 12:50:53.327+00,2026-09-08 12:50:55.875754+00,succeeded,ok,0,2543,ol_order_98c09c9f28664cc0b34e9fdb840b45f6,2026-09-08 12:50:54.467,ready,,failed
5,mtso1byf9dcd94-perf-allegro-a-order-7,2026-09-08T12:50:57.122Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat5:1788871857134,2026-09-08 12:50:57.156035+00,,2026-09-08 12:50:57.67548+00,succeeded,ok,0,293,2026-09-08 12:50:57.6727+00,2026-09-08 12:50:58.391+00,2026-09-08 12:51:00.946119+00,succeeded,ok,0,2548,ol_order_1e125b5a66494232b52ffdb9164e7096,2026-09-08 12:50:59.532,ready,,failed
6,mtso1byf9dcd94-perf-allegro-a-order-8,2026-09-08T12:51:02.074Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat6:1788871862084,2026-09-08 12:51:02.106121+00,,2026-09-08 12:51:02.739327+00,succeeded,ok,0,291,2026-09-08 12:51:02.736392+00,2026-09-08 12:51:03.457+00,2026-09-08 12:51:06.00564+00,succeeded,ok,0,2542,ol_order_54a3bf2c414242eba3c40c74ac0288d0,2026-09-08 12:51:04.599,ready,,failed
7,mtso1byf9dcd94-perf-allegro-a-order-9,2026-09-08T12:51:07.000Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat7:1788871867012,2026-09-08 12:51:07.03638+00,,2026-09-08 12:51:07.804114+00,succeeded,ok,0,292,2026-09-08 12:51:07.801098+00,2026-09-08 12:51:08.521+00,2026-09-08 12:51:11.065006+00,succeeded,ok,0,2538,ol_order_846c41c49c454ebbbfda9cb4bdda0ecf,2026-09-08 12:51:09.66,ready,,failed
8,mtso1byf9dcd94-perf-allegro-a-order-10,2026-09-08T12:51:11.959Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat8:1788871871970,2026-09-08 12:51:11.992193+00,,2026-09-08 12:51:12.86874+00,succeeded,ok,0,295,2026-09-08 12:51:12.865516+00,2026-09-08 12:51:13.585+00,2026-09-08 12:51:16.148241+00,succeeded,ok,0,2557,ol_order_3b2e780bfa5f4c8dad03ef8969483b4b,2026-09-08 12:51:14.723,ready,,failed
9,mtso1byf9dcd94-perf-allegro-a-order-11,2026-09-08T12:51:16.909Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat9:1788871876920,2026-09-08 12:51:16.939567+00,,2026-09-08 12:51:17.93912+00,succeeded,ok,0,301,2026-09-08 12:51:17.936454+00,2026-09-08 12:51:18.658+00,2026-09-08 12:51:21.186186+00,succeeded,ok,0,2522,ol_order_25290bf351b44221b6bbddd48749620e,2026-09-08 12:51:19.796,ready,,failed
10,mtso1byf9dcd94-perf-allegro-a-order-12,2026-09-08T12:51:21.858Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat10:1788871881871,2026-09-08 12:51:21.894056+00,,2026-09-08 12:51:23.000158+00,succeeded,ok,0,292,2026-09-08 12:51:22.996732+00,2026-09-08 12:51:23.716+00,2026-09-08 12:51:26.255719+00,succeeded,ok,0,2533,ol_order_c65e56a237bc4a7293650e5ff2e51f29,2026-09-08 12:51:24.854,ready,,failed
11,mtso1byf9dcd94-perf-allegro-a-order-13,2026-09-08T12:51:26.807Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat11:1788871886818,2026-09-08 12:51:26.83977+00,,2026-09-08 12:51:28.055752+00,succeeded,ok,0,291,2026-09-08 12:51:28.053419+00,2026-09-08 12:51:28.775+00,2026-09-08 12:51:31.313687+00,succeeded,ok,0,2533,ol_order_4bbefaa2c67d4ca5bd409a38e9ecf178,2026-09-08 12:51:29.911,ready,,failed
12,mtso1byf9dcd94-perf-allegro-a-order-14,2026-09-08T12:51:31.763Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat12:1788871891775,2026-09-08 12:51:31.802429+00,2026-09-08 12:51:31.81+00,2026-09-08 12:51:32.104222+00,succeeded,ok,0,289,2026-09-08 12:51:32.10139+00,2026-09-08 12:51:32.822+00,2026-09-08 12:51:35.363765+00,succeeded,ok,0,2536,ol_order_56739ce0b54449bcaa1358b6ad533bee,2026-09-08 12:51:33.961,ready,,failed
13,mtso1byf9dcd94-perf-allegro-a-order-15,2026-09-08T12:51:35.614Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat13:1788871895625,2026-09-08 12:51:35.648479+00,,2026-09-08 12:51:36.155141+00,succeeded,ok,0,291,2026-09-08 12:51:36.152019+00,2026-09-08 12:51:36.872+00,2026-09-08 12:51:39.423715+00,succeeded,ok,0,2547,ol_order_bf38668d387740139e2da302bdacde22,2026-09-08 12:51:38.012,ready,,failed
14,mtso1byf9dcd94-perf-allegro-a-order-16,2026-09-08T12:51:40.573Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat14:1788871900584,2026-09-08 12:51:40.605279+00,,2026-09-08 12:51:41.211303+00,succeeded,ok,0,290,2026-09-08 12:51:41.208646+00,2026-09-08 12:51:41.93+00,2026-09-08 12:51:44.472593+00,succeeded,ok,0,2537,ol_order_417156918be04711a176d7a0a5d926bf,2026-09-08 12:51:43.065,ready,,failed
15,mtso1byf9dcd94-perf-allegro-a-order-17,2026-09-08T12:51:45.515Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat15:1788871905526,2026-09-08 12:51:45.547721+00,,2026-09-08 12:51:46.26531+00,succeeded,ok,0,290,2026-09-08 12:51:46.262612+00,2026-09-08 12:51:46.983+00,2026-09-08 12:51:49.532399+00,succeeded,ok,0,2543,ol_order_9e0a53f41f064c9990249c38458b4b53,2026-09-08 12:51:48.12,ready,,failed
16,mtso1byf9dcd94-perf-allegro-a-order-18,2026-09-08T12:51:50.490Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat16:1788871910501,2026-09-08 12:51:50.523748+00,,2026-09-08 12:51:51.324768+00,succeeded,ok,0,293,2026-09-08 12:51:51.321936+00,2026-09-08 12:51:52.042+00,2026-09-08 12:51:54.588252+00,succeeded,ok,0,2540,ol_order_bbbbb1dfb0ac473d91e44ca03e2518e4,2026-09-08 12:51:53.186,ready,,failed
17,mtso1byf9dcd94-perf-allegro-a-order-19,2026-09-08T12:51:55.453Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat17:1788871915466,2026-09-08 12:51:55.489133+00,,2026-09-08 12:51:56.38241+00,succeeded,ok,0,290,2026-09-08 12:51:56.379312+00,2026-09-08 12:51:57.099+00,2026-09-08 12:51:59.653403+00,succeeded,ok,0,2548,ol_order_e480a960a71c4d8c91d40fc94452c52b,2026-09-08 12:51:58.237,ready,,failed
18,mtso1byf9dcd94-perf-allegro-a-order-20,2026-09-08T12:52:00.391Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat18:1788871920402,2026-09-08 12:52:00.420591+00,,2026-09-08 12:52:01.445588+00,succeeded,ok,0,296,2026-09-08 12:52:01.443107+00,2026-09-08 12:52:02.166+00,2026-09-08 12:52:04.714069+00,succeeded,ok,0,2542,ol_order_48e2466437214ed79dccce58c348d28e,2026-09-08 12:52:03.304,ready,,failed
