ts,wait_event_type,wait_event,waiters,active_connections
2026-09-09T05:59:40Z,,,0,2
2026-09-09T05:59:41Z,,,0,42
2026-09-09T05:59:42Z,,,0,42
2026-09-09T05:59:43Z,,,0,41
2026-09-09T05:59:45Z,,,0,41
2026-09-09T05:59:46Z,,,0,41
2026-09-09T05:59:47Z,,,0,41
2026-09-09T05:59:48Z,,,0,41
2026-09-09T05:59:49Z,,,0,41
2026-09-09T05:59:51Z,,,0,41
2026-09-09T05:59:52Z,,,0,41
2026-09-09T05:59:53Z,,,0,41
2026-09-09T05:59:54Z,,,0,42
2026-09-09T05:59:56Z,,,0,41
2026-09-09T05:59:57Z,,,0,41
2026-09-09T05:59:58Z,,,0,41
2026-09-09T05:59:59Z,,,0,41
2026-09-09T06:00:00Z,,,0,41
