sample,checkout_form_id,pushed_at_utc,poll_key,poll_created_utc,poll_locked_utc,poll_updated_utc,poll_status,poll_outcome,poll_attempts,poll_attempt_duration_ms,child_created_utc,child_locked_utc,child_updated_utc,child_status,child_outcome,child_attempts,child_attempt_duration_ms,internal_order_id,record_created_utc,record_status,synced_at_utc,dest_sync_status
11,mtsp8nnja9560c-perf-allegro-a-order-13,2026-09-08T13:25:29.951Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat11:1788873929962,2026-09-08 13:25:29.982742+00,,2026-09-08 13:25:31.058201+00,succeeded,ok,0,291,2026-09-08 13:25:31.055433+00,2026-09-08 13:25:31.777+00,2026-09-08 13:25:35.797155+00,succeeded,ok,0,4013,ol_order_6e0ba0be90a74369a4656e5c90129c64,2026-09-08 13:25:32.919,ready,2026-09-08T13:25:35.789Z,synced
12,mtsp8nnja9560c-perf-allegro-a-order-14,2026-09-08T13:25:37.103Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat12:1788873937113,2026-09-08 13:25:37.134324+00,,2026-09-08 13:25:38.162995+00,succeeded,ok,0,289,2026-09-08 13:25:38.160394+00,2026-09-08 13:25:38.881+00,2026-09-08 13:25:42.875628+00,succeeded,ok,0,3989,ol_order_6b5fe507bae34b88b1443a535d7a147b,2026-09-08 13:25:40.016,ready,2026-09-08T13:25:42.869Z,synced
13,mtsp8nnja9560c-perf-allegro-a-order-15,2026-09-08T13:25:43.142Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat13:1788873943156,2026-09-08 13:25:43.174308+00,,2026-09-08 13:25:44.254533+00,succeeded,ok,0,294,2026-09-08 13:25:44.251386+00,2026-09-08 13:25:44.97+00,2026-09-08 13:25:49.018937+00,succeeded,ok,0,4041,ol_order_05b73a068da2477d9e5900e3d6915599,2026-09-08 13:25:46.114,ready,2026-09-08T13:25:49.012Z,synced
14,mtsp8nnja9560c-perf-allegro-a-order-16,2026-09-08T13:25:50.311Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat14:1788873950322,2026-09-08 13:25:50.346371+00,,2026-09-08 13:25:51.390917+00,succeeded,ok,0,289,2026-09-08 13:25:51.388084+00,2026-09-08 13:25:52.109+00,2026-09-08 13:25:56.120425+00,succeeded,ok,0,4005,ol_order_7264b74343754a5c853d010423d9a484,2026-09-08 13:25:53.242,ready,2026-09-08T13:25:56.112Z,synced
15,mtsp8nnja9560c-perf-allegro-a-order-17,2026-09-08T13:25:57.474Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat15:1788873957485,2026-09-08 13:25:57.506901+00,,2026-09-08 13:25:58.497477+00,succeeded,ok,0,287,2026-09-08 13:25:58.495046+00,2026-09-08 13:25:59.217+00,2026-09-08 13:26:03.196123+00,succeeded,ok,0,3973,ol_order_10c6a5733a3a4c83b0a49cfbcfd2be10,2026-09-08 13:26:00.353,ready,2026-09-08T13:26:03.190Z,synced
16,mtsp8nnja9560c-perf-allegro-a-order-18,2026-09-08T13:26:03.534Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat16:1788873963543,2026-09-08 13:26:03.561447+00,,2026-09-08 13:26:04.598012+00,succeeded,ok,0,299,2026-09-08 13:26:04.595179+00,2026-09-08 13:26:05.319+00,2026-09-08 13:26:09.342394+00,succeeded,ok,0,4018,ol_order_d4a21f61e0314204b31c730544e80a3b,2026-09-08 13:26:06.455,ready,2026-09-08T13:26:09.336Z,synced
17,mtsp8nnja9560c-perf-allegro-a-order-19,2026-09-08T13:26:10.671Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat17:1788873970682,2026-09-08 13:26:10.701307+00,,2026-09-08 13:26:11.719528+00,succeeded,ok,0,286,2026-09-08 13:26:11.717767+00,2026-09-08 13:26:12.44+00,2026-09-08 13:26:16.45032+00,succeeded,ok,0,4004,ol_order_cb46f8d3cd28484e876dc88f6f221c86,2026-09-08 13:26:13.572,ready,2026-09-08T13:26:16.442Z,synced
18,mtsp8nnja9560c-perf-allegro-a-order-20,2026-09-08T13:26:16.735Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat18:1788873976745,2026-09-08 13:26:16.764634+00,,2026-09-08 13:26:17.800677+00,succeeded,ok,0,291,2026-09-08 13:26:17.798427+00,2026-09-08 13:26:18.52+00,2026-09-08 13:26:22.556196+00,succeeded,ok,0,4029,ol_order_03801cab10c1464a9e6ea3dffda2074f,2026-09-08 13:26:19.669,ready,2026-09-08T13:26:22.550Z,synced
19,mtsp8nnja9560c-perf-allegro-a-order-21,2026-09-08T13:26:23.885Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat19:1788873983895,2026-09-08 13:26:23.914716+00,,2026-09-08 13:26:24.930168+00,succeeded,ok,0,288,2026-09-08 13:26:24.92744+00,2026-09-08 13:26:25.649+00,2026-09-08 13:26:29.698091+00,succeeded,ok,0,4041,ol_order_487ebfa9d8134148ae75a7c1982b46bb,2026-09-08 13:26:26.792,ready,2026-09-08T13:26:29.692Z,synced
20,mtsp8nnja9560c-perf-allegro-a-order-22,2026-09-08T13:26:31.068Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat20:1788873991079,2026-09-08 13:26:31.099227+00,,2026-09-08 13:26:32.015987+00,succeeded,ok,0,291,2026-09-08 13:26:32.013535+00,2026-09-08 13:26:32.736+00,2026-09-08 13:26:36.767964+00,succeeded,ok,0,4026,ol_order_80910cc3cbe0450094ee82a21c836e6a,2026-09-08 13:26:33.887,ready,2026-09-08T13:26:36.762Z,synced
21,mtsp8nnja9560c-perf-allegro-a-order-23,2026-09-08T13:26:37.148Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat21:1788873997159,2026-09-08 13:26:37.180982+00,,2026-09-08 13:26:38.134871+00,succeeded,ok,0,302,2026-09-08 13:26:38.132495+00,2026-09-08 13:26:38.852+00,2026-09-08 13:26:42.807329+00,succeeded,ok,0,3949,ol_order_ea59d3fbf7594a2f9d9d75acde22e193,2026-09-08 13:26:39.985,ready,2026-09-08T13:26:42.802Z,synced
22,mtsp8nnja9560c-perf-allegro-a-order-24,2026-09-08T13:26:43.199Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat22:1788874003211,2026-09-08 13:26:43.230141+00,,2026-09-08 13:26:44.222581+00,succeeded,ok,0,293,2026-09-08 13:26:44.220171+00,2026-09-08 13:26:44.938+00,2026-09-08 13:26:48.943045+00,succeeded,ok,0,3999,ol_order_5606d16c57dc465293951843d84164a8,2026-09-08 13:26:46.078,ready,2026-09-08T13:26:48.937Z,synced
23,mtsp8nnja9560c-perf-allegro-a-order-25,2026-09-08T13:26:49.207Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat23:1788874009216,2026-09-08 13:26:49.235113+00,,2026-09-08 13:26:50.317642+00,succeeded,ok,0,291,2026-09-08 13:26:50.314942+00,2026-09-08 13:26:51.036+00,2026-09-08 13:26:55.040665+00,succeeded,ok,0,3999,ol_order_3afe8fad16da4eb7bf05fb46dc88279d,2026-09-08 13:26:52.172,ready,2026-09-08T13:26:55.034Z,synced
24,mtsp8nnja9560c-perf-allegro-a-order-26,2026-09-08T13:26:56.358Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat24:1788874016369,2026-09-08 13:26:56.38623+00,,2026-09-08 13:26:57.425557+00,succeeded,ok,0,289,2026-09-08 13:26:57.42344+00,2026-09-08 13:26:58.144+00,2026-09-08 13:27:02.162068+00,succeeded,ok,0,4012,ol_order_4e0f35e249e240f59c65e3e4f63d4b81,2026-09-08 13:26:59.28,ready,2026-09-08T13:27:02.156Z,synced
25,mtsp8nnja9560c-perf-allegro-a-order-27,2026-09-08T13:27:02.423Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat25:1788874022434,2026-09-08 13:27:02.454002+00,,2026-09-08 13:27:03.497451+00,succeeded,ok,0,290,2026-09-08 13:27:03.495059+00,2026-09-08 13:27:04.218+00,2026-09-08 13:27:08.243826+00,succeeded,ok,0,4019,ol_order_2fc71406c9424deab73afb9cf5d35987,2026-09-08 13:27:05.369,ready,2026-09-08T13:27:08.232Z,synced
