sample,checkout_form_id,pushed_at_utc,poll_key,poll_created_utc,poll_locked_utc,poll_updated_utc,poll_status,poll_outcome,poll_attempts,poll_attempt_duration_ms,child_created_utc,child_locked_utc,child_updated_utc,child_status,child_outcome,child_attempts,child_attempt_duration_ms,internal_order_id,record_created_utc,record_status,synced_at_utc,dest_sync_status
1,mtsp8nnja9560c-perf-allegro-a-order-3,2026-09-08T13:24:23.899Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat1:1788873863915,2026-09-08 13:24:23.937044+00,,2026-09-08 13:24:24.966429+00,succeeded,ok,0,314,2026-09-08 13:24:24.96405+00,2026-09-08 13:24:25.66+00,2026-09-08 13:24:29.713347+00,succeeded,ok,0,4042,ol_order_c11546d6347441f28b713bc4d92479bf,2026-09-08 13:24:26.801,ready,2026-09-08T13:24:29.705Z,synced
2,mtsp8nnja9560c-perf-allegro-a-order-4,2026-09-08T13:24:31.067Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat2:1788873871079,2026-09-08 13:24:31.101349+00,,2026-09-08 13:24:32.116615+00,succeeded,ok,0,289,2026-09-08 13:24:32.113452+00,2026-09-08 13:24:32.832+00,2026-09-08 13:24:36.917861+00,succeeded,ok,0,4079,ol_order_f624838ca577485e811a708372d95e70,2026-09-08 13:24:33.985,ready,2026-09-08T13:24:36.912Z,synced
3,mtsp8nnja9560c-perf-allegro-a-order-5,2026-09-08T13:24:38.187Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat3:1788873878197,2026-09-08 13:24:38.21765+00,,2026-09-08 13:24:39.210437+00,succeeded,ok,0,292,2026-09-08 13:24:39.207197+00,2026-09-08 13:24:40.962+00,2026-09-08 13:24:44.983229+00,succeeded,ok,0,4014,ol_order_4e6f2049de9a432ab8f604de4067c6cc,2026-09-08 13:24:42.105,ready,2026-09-08T13:24:44.976Z,synced
4,mtsp8nnja9560c-perf-allegro-a-order-6,2026-09-08T13:24:45.354Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat4:1788873885365,2026-09-08 13:24:45.38675+00,,2026-09-08 13:24:46.341557+00,succeeded,ok,0,297,2026-09-08 13:24:46.338924+00,2026-09-08 13:24:47.06+00,2026-09-08 13:24:51.106947+00,succeeded,ok,0,4040,ol_order_279758f3bb0243fd9e039345df26896d,2026-09-08 13:24:48.21,ready,2026-09-08T13:24:51.101Z,synced
5,mtsp8nnja9560c-perf-allegro-a-order-7,2026-09-08T13:24:51.391Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat5:1788873891403,2026-09-08 13:24:51.422419+00,,2026-09-08 13:24:52.433494+00,succeeded,ok,0,291,2026-09-08 13:24:52.431096+00,2026-09-08 13:24:53.15+00,2026-09-08 13:24:57.197034+00,succeeded,ok,0,4040,ol_order_3511dada553e4e2bbad686ee521bd3e2,2026-09-08 13:24:54.29,ready,2026-09-08T13:24:57.190Z,synced
6,mtsp8nnja9560c-perf-allegro-a-order-8,2026-09-08T13:24:58.543Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat6:1788873898555,2026-09-08 13:24:58.576425+00,,2026-09-08 13:24:59.550683+00,succeeded,ok,0,288,2026-09-08 13:24:59.54788+00,2026-09-08 13:25:00.269+00,2026-09-08 13:25:04.274429+00,succeeded,ok,0,4000,ol_order_0db03613c5a7446d8f2a59d09fc00678,2026-09-08 13:25:01.402,ready,2026-09-08T13:25:04.268Z,synced
7,mtsp8nnja9560c-perf-allegro-a-order-9,2026-09-08T13:25:04.603Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat7:1788873904614,2026-09-08 13:25:04.637526+00,,2026-09-08 13:25:05.627007+00,succeeded,ok,0,290,2026-09-08 13:25:05.625077+00,2026-09-08 13:25:06.347+00,2026-09-08 13:25:10.408414+00,succeeded,ok,0,4055,ol_order_b5e91a6321534b2ab22076cc1f1d0b1e,2026-09-08 13:25:07.485,ready,2026-09-08T13:25:10.399Z,synced
8,mtsp8nnja9560c-perf-allegro-a-order-10,2026-09-08T13:25:10.667Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat8:1788873910678,2026-09-08 13:25:10.696291+00,,2026-09-08 13:25:11.747479+00,succeeded,ok,0,293,2026-09-08 13:25:11.744101+00,2026-09-08 13:25:12.464+00,2026-09-08 13:25:16.479153+00,succeeded,ok,0,4009,ol_order_c30e20f7454d461298cfa82d81e30ddd,2026-09-08 13:25:13.601,ready,2026-09-08T13:25:16.473Z,synced
9,mtsp8nnja9560c-perf-allegro-a-order-11,2026-09-08T13:25:17.818Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat9:1788873917829,2026-09-08 13:25:17.852359+00,,2026-09-08 13:25:18.861188+00,succeeded,ok,0,290,2026-09-08 13:25:18.858545+00,2026-09-08 13:25:19.579+00,2026-09-08 13:25:23.594962+00,succeeded,ok,0,4010,ol_order_087c7e36b2a441629a86221b84d8fefe,2026-09-08 13:25:20.713,ready,2026-09-08T13:25:23.589Z,synced
10,mtsp8nnja9560c-perf-allegro-a-order-12,2026-09-08T13:25:23.898Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat10:1788873923908,2026-09-08 13:25:23.931502+00,,2026-09-08 13:25:24.947401+00,succeeded,ok,0,292,2026-09-08 13:25:24.944732+00,2026-09-08 13:25:25.667+00,2026-09-08 13:25:29.687585+00,succeeded,ok,0,4012,ol_order_20248f8bdc1e4efdb4f3022d41a94b0c,2026-09-08 13:25:26.806,ready,2026-09-08T13:25:29.682Z,synced
